cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
0000004187,INDUSTRIAL SERVICES OF AMERICA INC,1988,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,IDSA,5090,Wholesale-Miscellaneous Durable Goods
0000004281,ARCONIC INC.,10803,NYSE,NYSE,NYSE,ARNC,3350,Rolling Drawing and Extruding of Nonferrous Metals
0000004285,ALCAN INC,8325,,,,,3330,Primary Smelting and Refining of Nonferrous Metals
0000004317,SENTO CORP,5349,,,,,7373,Services-Computer Integrated Systems Design
0000004344,BESTWAY INC,7019,,,,,7359,"Services-Equipment Rental and Leasing, Not Elsewhere Classified"
0000004447,HESS CORP,4416,NYSE,NYSE,NYSE,HES,2911,Petroleum Refining
0000004457,AMERCO /NV/,11171,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UHAL,7510,Services-Auto Rental and Leasing (No Drivers)
0000004515,AMERICAN AIRLINES INC,17418,,,,,4512,"Air Transportation, Scheduled"
0000004611,AMERICAN BILTRITE INC,10374,OTC Markets,OTC Pink Limited,OTC,ABLT,3089,"Plastics Products, Not Elsewhere Classified"
0000004811,AMERICAN CONSUMERS INC,22152,OTC Markets,OTC Pink No Information,OTC,ANCSQ,5411,Retail-Grocery Stores
0000004828,AMERICAN CRYSTAL SUGAR CO /MN/,31120,OTC,Grey Market,OTC,ASCS,2060,Sugar And Confectionery Products
0000004904,AMERICAN ELECTRIC POWER CO INC,2135,NYSE,NYSE,NYSE,AEP,4911,Electric Services
0000004962,AMERICAN EXPRESS CO,8450,NYSE,NYSE,NYSE,AXP,6199,Finance Services
0000004969,AMERICAN EXPRESS CREDIT CORP,17276,,,,,6153,Short-Term Business Credit Institutions
0000004977,AFLAC INC,1814,NYSE,NYSE,NYSE,AFL,6321,Accident and Health Insurance
0000005117,EMTEC INC/NJ,390,OTC Markets,OTC Pink No Information,OTC,ETEC,7389,"Services-Business Services, Not Elsewhere Classified"
0000005133,AMERICAN GREETINGS CORP,6175,,,,,2771,Greeting Cards
0000005187,WYETH,9752,,,,,2834,Pharmaceutical Preparations
0000005272,AMERICAN INTERNATIONAL GROUP INC,1878,NYSE,NYSE,NYSE,AIG,6331,"Fire, Marine and Casualty Insurance"
0000005337,HADERA PAPER LTD,11174,OTC Markets,OTC Pink Current,OTC,HAIPF,2621,Paper Mills
0000005513,UNUM GROUP,3309,NYSE,NYSE,NYSE,UNM,6321,Accident and Health Insurance
0000005656,AMERICAN INTERNATIONAL VENTURES INC /DE/,68822,OTC Markets,OTC Pink Current,OTC,AIVN,1040,Gold And Silver Ores
0000005768,"AMERICAN SCIENCE & ENGINEERING, INC.",9591,,,,,3844,X-Ray Apparatus and Tubes and Related Irradiation Apparatus
0000005907,AT&T CORP,10118,,,,,4813,Telephone Communications (No Radiotelephone)
0000005981,AMERICAN VANGUARD CORP,5024,NYSE,NYSE,NYSE,AVD,2870,Agricultural Chemicals
0000006176,AMPCO PITTSBURGH CORP,10196,NYSE,NYSE,NYSE,AP,3561,Pumps and Pumping Equipment
0000006201,AMERICAN AIRLINES GROUP INC.,8717,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,AAL,4512,"Air Transportation, Scheduled"
0000006207,AMREP CORP.,7501,NYSE,NYSE,NYSE,AXR,2721,"Periodicals: Publishing, or Publishing and Printing"
0000006260,ANACOMP INC,1161,OTC Markets,OTC Pink No Information,OTC,ANMP,3861,Photographic Equipment and Supplies
0000006281,ANALOG DEVICES INC,11545,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ADI,3674,Semiconductors and Related Devices
0000006284,ANALOGIC CORP,8785,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ALOG,3825,Instruments for Measuring and Testing of Electricity and Electri
0000006292,ANALYSTS INTERNATIONAL CORP,3882,,,,,7371,Services-Computer Programming Services
0000006314,ANAREN  INC,7267,,,,,3663,Radio and Television Broadcasting and Communications Equipment
0000006383,MOSCOW CABLECOM CORP,3456,,,,,4841,Cable and Other Pay Television Services
0000006494,ANDREA ELECTRONICS CORP,1781,OTC Markets,OTCQB,OTC,ANDR,3663,Radio and Television Broadcasting and Communications Equipment
0000006571,ANGELICA CORP /NEW/,8506,,,,,7200,Services-Personal Services
0000006720,"OUTDOOR SPORTS GEAR, INC.",2078,,,,,3949,"Sporting and Athletic Goods, Not Elsewhere Classified"
0000006732,BE INDUSTRIES INC.,99868,OTC Markets,OTCQB,OTC,NACG,3560,General Industrial Machinery And Equipment
0000006769,APACHE CORP,3940,NYSE,NYSE,NYSE,APA,1311,Crude Petroleum and Natural Gas
0000006814,COMFORCE CORP,66,,,,,7363,Services-Help Supply Services
0000006845,"APOGEE ENTERPRISES, INC.",11973,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,APOG,3231,"Glass Products, Made of Purchased Glass"
0000006879,APPALACHIAN POWER CO,9247,,,,,4911,Electric Services
0000006885,STAGE STORES INC,10609,NYSE,NYSE,NYSE,SSI,5651,Retail-Family Clothing Stores
0000006948,INNOVATIVE MICRO TECHNOLOGY INC,9577,,,,,3679,"Electronic Components, Not Elsewhere Classified"
0000006951,APPLIED MATERIALS INC /DE,2730,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,AMAT,3674,Semiconductors and Related Devices
0000006955,ACTUANT CORP,1718,NYSE,NYSE,NYSE,ATU,3590,Miscellaneous Industrial and Commercial Machinery and Equipment
0000007032,"ARAMARK SERVICES, INC.",16891,,,,,5812,Retail-Eating Places
0000007039,TRECORA RESOURCES,3366,NYSE,NYSE,NYSE,TREC,2911,Petroleum Refining
0000007059,AFFINITY BEVERAGE GROUP INC,71208,OTC Markets,OTC Pink Limited,OTC,ABVG,6770,Blank Checks
0000007084,ARCHER DANIELS MIDLAND CO,10859,NYSE,NYSE,NYSE,ADM,2070,Fats And Oils
0000007286,ARIZONA PUBLIC SERVICE CO,1457,,,,,4931,Electric and Other Services Combined
0000007323,ENTERGY ARKANSAS INC,10498,NYSE,NYSE,NYSE,EAB,4911,Electric Services
0000007332,SOUTHWESTERN ENERGY CO,3988,NYSE,NYSE,NYSE,SWN,1311,Crude Petroleum and Natural Gas
0000007431,ARMSTRONG WORLD INDUSTRIES INC,462,NYSE,NYSE,NYSE,AWI,3089,"Plastics Products, Not Elsewhere Classified"
0000007536,ARROW ELECTRONICS INC,10480,NYSE,NYSE,NYSE,ARW,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
0000007623,ARTS WAY MANUFACTURING CO INC,4281,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,ARTW,3523,Farm Machinery and Equipment
0000007789,ASSOCIATED BANC-CORP,2033,NYSE,NYSE,NYSE,ASB,6022,State Commercial Banks
0000007951,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,84948,OTC Markets,OTC Pink No Information,OTC,RHSC,6799,"Investors, Not Elsewhere Classified"
0000008063,ASTRONICS CORP,8929,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ATRO,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
0000008146,"ASTRONOVA, INC.",9911,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,ALOT,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
0000008177,ATLANTIC AMERICAN CORP,11445,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,AAME,6311,Life Insurance
0000008192,ATLANTIC CITY ELECTRIC CO,2395,,,,,4911,Electric Services
0000008328,"APPLIED MINERALS, INC.",69126,OTC Markets,OTCQB,OTC,AMNL,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
0000008411,ATWOOD OCEANICS INC,9793,NYSE,NYSE,NYSE,ATW,1381,Drilling Oil and Gas Wells
0000008497,ASSURANCEAMERICA CORP,10159,OTC Markets,OTC Pink No Information,OTC,ASAM,6331,"Fire, Marine and Casualty Insurance"
0000008504,"ENERJEX RESOURCES, INC.",7716,NYSE,NYSE MKT,NYSE MKT,ENRJ,1311,Crude Petroleum and Natural Gas
0000008598,"AGENT INFORMATION SOFTWARE, INC.",7003,OTC Markets,OTC Pink Current,OTC,AIFS,7374,Services-Computer Processing and Data Preparation
0000008643,MEDICORE INC,3909,,,,,8090,"Services-Miscellaneous Health and Allied Services, Not Elsewhere"
0000008670,AUTOMATIC DATA PROCESSING INC,4969,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ADP,7374,Services-Computer Processing and Data Preparation
0000008734,AMBASSADOR FOOD SERVICES CORP,1484,OTC Markets,OTC Pink No Information,OTC,ABDR,5812,Retail-Eating Places
0000008818,AVERY DENNISON CORP,11656,NYSE,NYSE,NYSE,AVY,2670,Converted Paper and Paperboard Products (No Contaners/Boxes)
0000008855,AMERICAN LOCKER GROUP INC,7651,OTC Markets,OTC Pink No Information,OTC,ALGI,2540,"Partitions, Shelving, Lockers, and Office and Store Fixtures"
0000008858,AVNET INC,7983,NYSE,NYSE,NYSE,AVT,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
0000008868,AVON PRODUCTS INC,1328,NYSE,NYSE,NYSE,AVP,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
0000008947,AZZ INC,11524,NYSE,NYSE,NYSE,AZZ,3640,Electric Lighting And Wiring Equipment
0000009092,BADGER METER INC,3683,NYSE,NYSE,NYSE,BMI,3824,Totalizing Fluid Meters and Counting Devices
0000009096,BADGER PAPER MILLS INC,4140,OTC Markets,OTC Pink No Information,OTC,BPMI,2621,Paper Mills
0000009128,BAGDAD CHASE INC,39268,,,,,1000,Metal Mining
0000009235,BKF CAPITAL GROUP INC,9379,OTC Markets,OTC Pink No Information,OTC,BKFG,6282,Investment Advice
0000009263,MICHAEL BAKER CORP,6808,,,,,8741,Services-Management Services
0000009326,BALCHEM CORP,4246,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,BCPC,2800,Chemicals and Allied Products
0000009342,BALDOR ELECTRIC CO,1039,,,,,3621,Motors and Generators
0000009346,BALDWIN & LYONS INC,1147,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,BWINA,6331,"Fire, Marine and Casualty Insurance"
0000009389,BALL CORP,7440,NYSE,NYSE,NYSE,BLL,3411,Metal Cans
0000009466,BALTIMORE GAS & ELECTRIC CO,1463,,,,,4931,Electric and Other Services Combined
0000009534,BANDAG INC,4502,,,,,3011,Tires and Inner Tubes
0000009626,BANK OF NEW YORK CO INC,386,,,,,6022,State Commercial Banks
0000009631,BANK OF NOVA SCOTIA,80755,NYSE,NYSE,NYSE,BNS,6022,State Commercial Banks
0000009779,FAIRCHILD CORP,5171,,,,,5600,Retail-Apparel and Accessory Stores
0000009801,BANTA CORP,24,,,,,2750,Commercial Printing
0000009892,BARD C R INC /NJ/,2734,NYSE,NYSE,NYSE,BCR,3841,Surgical and Medical Instruments and Apparatus
0000009984,BARNES GROUP INC,9112,NYSE,NYSE,NYSE,B,3490,Miscellaneous Fabricated Metal Products
0000010048,BARNWELL INDUSTRIES INC,8784,NYSE,NYSE MKT,NYSE MKT,BRN,1311,Crude Petroleum and Natural Gas
0000010081,BARR PHARMACEUTICALS INC,2345,,,,,2834,Pharmaceutical Preparations
0000010254,EARTHSTONE ENERGY INC,2715,NYSE,NYSE,NYSE,ESTE,1311,Crude Petroleum and Natural Gas
0000010329,BASSETT FURNITURE INDUSTRIES INC,7609,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,BSET,2511,"Wood Household Furniture, (No Upholstered)"
0000010427,BAUSCH & LOMB INC,3873,,,,,3851,Ophthalmic Goods
0000010456,BAXTER INTERNATIONAL INC,9422,NYSE,NYSE,NYSE,BAX,3841,Surgical and Medical Instruments and Apparatus
0000010795,BECTON DICKINSON & CO,7018,NYSE,NYSE,NYSE,BDX,3841,Surgical and Medical Instruments and Apparatus
0000011199,BEMIS CO INC,6339,NYSE,NYSE,NYSE,BMS,2670,Converted Paper and Paperboard Products (No Contaners/Boxes)
0000011390,BENTHOS INC,7679,,,,,3990,Miscellaneous Manufacturing Industries
0000011544,BERKLEY W R CORP,1467,NYSE,NYSE,NYSE,WRB,6331,"Fire, Marine and Casualty Insurance"
0000012040,FLANIGANS ENTERPRISES INC,9044,NYSE,NYSE MKT,NYSE MKT,BDL,5812,Retail-Eating Places
0000012208,BIO RAD LABORATORIES INC,10455,NYSE,NYSE,NYSE,BIO,3826,Laboratory Analytical Instruments
0000012239,SPHERIX INC,5969,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,SPEX,6794,Patent Owners and Lessors
0000012355,BLACK & DECKER CORP,7238,,,,,3540,Metalworkg Machinery and Equipment
0000012388,BROADBAND WIRELESS INTERNATIONAL CORP,11389,,,,,4813,Telephone Communications (No Radiotelephone)
0000012400,BLACK HILLS POWER INC,8045,,,,,4911,Electric Services
0000012570,LEXINGTON PRECISION CORP,3083,,,,,3060,"Fabricated Rubber Products, Not Elsewhere Classified"
0000012659,H&R BLOCK INC,7387,NYSE,NYSE,NYSE,HRB,7200,Services-Personal Services
0000012779,BLUE RIDGE REAL ESTATE CO,8002,OTC Markets,OTC Pink Current,OTC,BRRE,6500,Real estate
0000012927,BOEING CO,11757,NYSE,NYSE,NYSE,BA,3721,Aircraft
0000012978,MAPLEBY HOLDINGS MERGER CORP,10642,,,,,5110,Wholesale-Paper and Paper Products
0000013033,COMJOYFUL INTERNATIONAL CO,25170,OTC Markets,OTC Pink No Information,OTC,KJFI,7200,Services-Personal Services
0000013055,LEFT BEHIND GAMES INC.,242059,,,,,7372,Services-Prepackaged Software
0000013156,"GALAXY GAMING, INC.",76284,OTC Markets,OTCQB,OTC,GLXZ,7900,Services-Amusement and Recreation Services
0000013239,HEXION INC.,12364,,,,,2821,"Plastic Materials, Synthetic Resins and Nonvulcan Elastomers"
0000013372,NSTAR ELECTRIC CO,9663,OTC Markets,OTC Pink Current,OTC,NSARO,4911,Electric Services
0000013522,REXAM PLC /ADR/,1925,,,,,2650,Paperboard Containers And Boxes
0000013547,ENTRPRIZE CORP,6859,,,,,1700,Construction-Special Trade Contractors
0000013573,BOWL AMERICA INC,9867,NYSE,NYSE MKT,NYSE MKT,BWL'A,7900,Services-Amusement and Recreation Services
0000013606,WHITE ELECTRONIC DESIGNS CORP,1469,,,,,3674,Semiconductors and Related Devices
0000013610,BOWNE & CO INC,4728,,,,,2750,Commercial Printing
0000014073,BRESLER & REINER INC,7355,OTC Markets,OTC Pink No Information,OTC,BRER,6513,Operators of Apartment Buildings
0000014177,BRIDGFORD FOODS CORP,7516,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,BRID,2013,Sausages and Other Prepared Meat Products
0000014195,BRIGGS & STRATTON CORP,7022,NYSE,NYSE,NYSE,BGG,3510,Engines And Turbines
0000014272,BRISTOL MYERS SQUIBB CO,919,NYSE,NYSE,NYSE,BMY,2834,Pharmaceutical Preparations
0000014280,"MSGI TECHNOLOGY SOLUTIONS, INC",3553,,,,,3670,Electronic Components And Accessories
0000014637,"BNS HOLDING, INC.",9472,,,,,6500,Real estate
0000014693,BROWN FORMAN CORP,4350,NYSE,NYSE,NYSE,BF'B,2080,Beverages
0000014707,CALERES INC,8869,NYSE,NYSE,NYSE,CAL,3140,"Footwear, (No Rubber)"
0000014803,BROWN TOM INC /DE,8981,,,,,1311,Crude Petroleum and Natural Gas
0000014846,BRT APARTMENTS CORP.,6526,NYSE,NYSE,NYSE,BRT,6798,Real Estate Investment Trusts
0000014930,BRUNSWICK CORP,11459,NYSE,NYSE,NYSE,BC,3510,Engines And Turbines
0000015288,"BULLION MONARCH MINING, INC. (OLD)",6436,,,,,6795,Mineral Royalty Traders
0000015357,CHASE GENERAL CORP,28996,,,,,2060,Sugar And Confectionery Products
0000015393,BUREAU OF NATIONAL AFFAIRS INC,16959,,,,,2711,"Newspapers: Publishing, or Publishing and Printing"
0000015486,FORTRAN CORPORATION,4302,OTC Markets,OTC Pink Current,OTC,FRTN,2200,Textile mill products
0000015511,BNSF RAILWAY CO,14235,,,,,4011,"Railroads, Line-Haul Operating"
0000015615,MASTEC INC,10595,NYSE,NYSE,NYSE,MTZ,1623,"Water, Sewer, Pipeline, and Communications and Power Line Constr"
0000015847,BUTLER NATIONAL CORP,1114,OTC Markets,OTC Pink Current,OTC,BUKS,7990,Services-Miscellaneous Amusement and Recreation
0000016040,CABOT CORP,70,NYSE,NYSE,NYSE,CBT,2890,Miscellaneous Chemical Products
0000016058,CACI INTERNATIONAL INC /DE/,5935,NYSE,NYSE,NYSE,CACI,7373,Services-Computer Integrated Systems Design
0000016099,LUBYS INC,3911,NYSE,NYSE,NYSE,LUB,5812,Retail-Eating Places
0000016104,CAGLES INC,3099,,,,,2015,Poultry Slaughtering and Processing
0000016160,CAL-MAINE FOODS INC,385,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CALM,0200,Agricultural Products-Livestock and Animal Specialties
0000016317,CALIFORNIA ENGELS MINING CO,2685,OTC Markets,OTC Pink No Information,OTC,CAEN,1000,Metal Mining
0000016590,CAMBEX CORP,568,OTC Markets,OTC Pink No Information,OTC,CBEX,3572,Computer Storage Devices
0000016614,CAMCO FINANCIAL CORP,7741,,,,,6036,"Savings Institutions, Not Federally Chartered"
0000016732,CAMPBELL SOUP CO,8588,NYSE,NYSE,NYSE,CPB,2000,Food and kindred products
0000016859,MFC BANCORP LTD.,8396,NYSE,NYSE,NYSE,MFCB,6029,"Commercial Banks, Not Elsewhere Classified"
0000016868,CANADIAN NATIONAL RAILWAY CO,5572,NYSE,NYSE,NYSE,CNI,4011,"Railroads, Line-Haul Operating"
0000016873,NEXEN INC,8880,,,,,1311,Crude Petroleum and Natural Gas
0000016875,CANADIAN PACIFIC RAILWAY LTD/CN,71849,NYSE,NYSE,NYSE,CP,4011,"Railroads, Line-Haul Operating"
0000016918,"CONSTELLATION BRANDS, INC.",1073,NYSE,NYSE,NYSE,STZ,2080,Beverages
0000016988,CANON INC,76881,NYSE,NYSE,NYSE,CAJ,3861,Photographic Equipment and Supplies
0000017313,CAPITAL SOUTHWEST CORP,11556,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CSWC,2200,Textile mill products
0000017485,"LIBERATOR MEDICAL HOLDINGS, INC.",5738,,,,,5912,Retail-Drug Stores and Proprietary Stores
0000017544,AEROTELESIS INC,413132,,,,,4813,Telephone Communications (No Radiotelephone)
0000017797,"DUKE ENERGY PROGRESS, LLC.",7674,,,,,4911,Electric Services
0000017843,CARPENTER TECHNOLOGY CORP,4333,NYSE,NYSE,NYSE,CRS,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
0000017927,CARROLS CORP,18725,,,,,5812,Retail-Eating Places
0000018061,CASCADE CORP,33,,,,,3537,"Industrial Trucks, Tractors, Trailors and Stackers"
0000018072,CASCADE NATURAL GAS CORP,8570,,,,,4924,Natural Gas Distribution
0000018169,DOLE FOOD CO INC,11988,,,,,0100,Agricultural Production-Crops
0000018172,CASTLE A M & CO,5291,OTC,Grey Market,OTC,CTAM,5051,Wholesale-Metals Service Centers and Offices
0000018230,CATERPILLAR INC,1532,NYSE,NYSE,NYSE,CAT,3531,Construction Machinery and Equipment
0000018255,CATO CORP,10391,NYSE,NYSE,NYSE,CATO,5621,Retail-Women's Clothing Stores
0000018349,SYNOVUS FINANCIAL CORP,9498,NYSE,NYSE,NYSE,SNV,6021,National Commercial Banks
0000018396,CDI CORP,5570,NYSE,NYSE,NYSE,CDI,7363,Services-Help Supply Services
0000018498,GENESCO INC,494,NYSE,NYSE,NYSE,GCO,5661,Retail-Shoe Stores
0000018530,"SCRYPT, INC.",57799,OTC Markets,OTC Pink Limited,OTC,SYPT,7374,Services-Computer Processing and Data Preparation
0000018532,CENTEX LLC,5259,,,,,1531,Operative Builders
0000018540,CENTRAL & SOUTH WEST CORP,3518,,,,,4911,Electric Services
0000018568,COMPASS BANCSHARES INC,5534,,,,,6021,National Commercial Banks
0000018605,CENTRAL NATURAL RESOURCES INC,7935,OTC Markets,OTC Pink No Information,OTC,CTNR,6792,Oil Royalty Traders
0000018647,CENTRAL HUDSON GAS & ELECTRIC CORP,10703,,,,,4931,Electric and Other Services Combined
0000018651,CENTRAL ILLINOIS LIGHT CO,11489,,,,,4931,Electric and Other Services Combined
0000018654,AMEREN ILLINOIS CO,4388,OTC Markets,OTC Pink Current,OTC,AILIM,4931,Electric and Other Services Combined
0000018672,CLECO POWER LLC,863,,,,,4911,Electric Services
0000018675,CENTRAL MAINE POWER CO,1727,OTC Markets,OTC Pink No Information,OTC,CTPPO,4911,Electric Services
0000018734,AEP TEXAS CENTRAL CO,3654,,,,,4911,Electric Services
0000018808,CENTRAL VERMONT PUBLIC SERVICE CORP,4941,,,,,4911,Electric Services
0000018886,WOLVERINE HOLDING CORP.,4677,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
0000018914,CENTURY REALTY TRUST,7931,,,,,6798,Real Estate Investment Trusts
0000018926,"CENTURYLINK, INC",7620,NYSE,NYSE,NYSE,CTL,4813,Telephone Communications (No Radiotelephone)
0000018937,CERADYNE INC,10101,,,,,3990,Miscellaneous Manufacturing Industries
0000019002,"CYBRDI, INC.",6169,OTC Markets,OTC Pink No Information,OTC,CYDI,2836,"Biological Products, (No Diagnostic Substances)"
0000019149,CHAMPION INDUSTRIES INC,10514,OTC Markets,OTC Pink Current,OTC,CHMP,2750,Commercial Printing
0000019161,CHAMPION PARTS INC,3727,,,,,3714,Motor Vehicle Parts and Accessories
0000019252,CHAPARRAL RESOURCES INC,9425,,,,,1311,Crude Petroleum and Natural Gas
0000019353,CHARMING SHOPPES INC,4023,,,,,5621,Retail-Women's Clothing Stores
0000019411,MAGELLAN HEALTH INC,4772,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MGLN,8060,Services-Hospitals
0000019446,CANTEL MEDICAL CORP,11390,NYSE,NYSE,NYSE,CMD,3841,Surgical and Medical Instruments and Apparatus
0000019520,CHATTEM INC,2615,,,,,2834,Pharmaceutical Preparations
0000019584,CHEMED CORP,636,NYSE,NYSE,NYSE,CHE,8082,Services-Home Health Care Services
0000019612,CHEMICAL FINANCIAL CORP,3318,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CHFC,6022,State Commercial Banks
0000019617,JPMORGAN CHASE & CO,8702,NYSE,NYSE,NYSE,JPM,6021,National Commercial Banks
0000019731,CANAL CORP,4063,,,,,2650,Paperboard Containers And Boxes
0000019745,CHESAPEAKE UTILITIES CORP,4474,NYSE,NYSE,NYSE,CPK,4923,Natural Gas Transmission and Distribution
0000019871,CHICAGO RIVET & MACHINE CO,9378,NYSE,NYSE MKT,NYSE MKT,CVR,3540,Metalworkg Machinery and Equipment
0000019913,CHIEF CONSOLIDATED MINING CO,845,,,,,6795,Mineral Royalty Traders
0000020171,CHUBB CORP,4209,,,,,6331,"Fire, Marine and Casualty Insurance"
