adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000006885-16-000653	6885	STAGE STORES INC	5651	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH		7136675601	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH		US	NV	911826900	APPAREL RETAILERS INC	19930908	1-LAF	0	0131	10-Q	20161031	2016	Q3	20161208	2016-12-08 16:07:00.0	0	1	ssi-20161029.xml	1	
0000006951-16-000068	6951	APPLIED MATERIALS INC /DE	3674	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		4087275555	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		US	DC	941655526	APPLIED MATERIALS TECHNOLOGY INC	19730319	1-LAF	1	1031	10-K	20161031	2016	FY	20161215	2016-12-15 16:47:00.0	0	1	amat-20161030.xml	1	
0000006955-16-000084	6955	ACTUANT CORP	3590	US	WI	MENOMONEE FALLS	53051	ATTN:  MATT PAULI	N86 W12500 WESTBROOK CROSSING	262-293-1524	US	WI	MENOMONEE FALLS	53051	ATTN:  MATT PAULI	N86 W12500 WESTBROOK CROSSING	US	WI	390168610	APPLIED POWER INC	19920703	1-LAF	1	0831	10-K	20160831	2016	FY	20161028	2016-10-28 12:54:00.0	0	1	atu-20160831.xml	1	
0000007039-16-000057	7039	TRECORA RESOURCES	2911	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		4093858300	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		US	DE	751256622	ARABIAN AMERICAN DEVELOPMENT CO	20000811	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161104	2016-11-04 15:15:00.0	1	1	trec-20160930.xml	1	
0000007084-16-000076	7084	ARCHER DANIELS MIDLAND CO	2070	US	IL	DECATUR	62526	4666 FARIES PKWY		2174245200	US	IL	DECATUR	62526	4666 FARIES PKWY		US	DE	410129150			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161101	2016-11-01 16:26:00.0	0	1	adm-20160930.xml	1	
0000007332-16-000069	7332	SOUTHWESTERN ENERGY CO	1311	US	TX	SPRING	77389	10000 ENERGY DRIVE		832-796-4700	US	TX	SPRING	77389	10000 ENERGY DRIVE		US	DE	710205415	ARKANSAS WESTERN GAS CO	19790917	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161020	2016-10-20 17:04:00.0	0	1	swn-20160930.xml	1	
0000007789-16-000080	7789	ASSOCIATED BANC-CORP	6022	US	WI	GREEN BAY	54301	433 MAIN STREET		920-491-7500	US	WI	GREEN BAY	54301	433 MAIN STREET		US	WI	391098068	ASSOCIATED BANK SERVICES INC	19770626	1-LAF	1	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 16:21:00.0	0	1	asb-20160930.xml	1	
0000008063-16-000024	8063	ASTRONICS CORP	3728	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	716-805-1599	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	US	NY	160959303	ASTRONICS LUMINESCENT INC	19711209	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 15:57:00.0	0	1	atro-20161001.xml	1	
0000008411-16-000237	8411	ATWOOD OCEANICS INC	1381	US	TX	HOUSTON	77094	15011 KATY FREEWAY,	SUITE 800	2817497800	US	TX	HOUSTON	77094	15011 KATY FREEWAY,	SUITE 800	US	TX	741611874			1-LAF	0	0930	10-K	20160930	2016	FY	20161115	2016-11-15 16:34:00.0	0	1	atw-20160930.xml	1	
0000008670-16-000059	8670	AUTOMATIC DATA PROCESSING INC	7374	US	NJ	ROSELAND	07068	ONE ADP BOULVARD		9739745000	US	NJ	ROSELAND	07068	ONE ADP BOULEVARD		US	DE	221467904			1-LAF	0	0630	10-Q	20160930	2017	Q1	20161103	2016-11-03 15:43:00.0	0	1	adp-20160930.xml	1	
0000008858-16-000062	8858	AVNET INC	5065	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		4806432000	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		US	NY	111890605			1-LAF	0	0630	10-Q	20160930	2017	Q1	20161028	2016-10-28 15:15:00.0	0	1	avt-20161001.xml	1	
0000008868-16-000183	8868	AVON PRODUCTS INC	2844	US	NY	NEW  YORK	10017	777 THIRD AVENUE		212-282-5000	US	NY	NEW  YORK	10017	777 THIRD AVENUE		US	NY	130544597			1-LAF	1	1231	8-K	20151231	2015	FY	20161011	2016-10-11 06:48:00.0	0	1	avp-20161011.xml	1	
0000008868-16-000192	8868	AVON PRODUCTS INC	2844	US	NY	NEW  YORK	10017	777 THIRD AVENUE		212-282-5000	US	NY	NEW  YORK	10017	777 THIRD AVENUE		US	NY	130544597			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 06:51:00.0	0	1	avp-20160930.xml	1	
0000008947-16-000270	8947	AZZ INC	3640	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	8178100095	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	US	TX	750948250	AZTEC MANUFACTURING CO	20000911	2-ACC	0	0229	10-Q	20160831	2016	Q2	20161005	2016-10-05 06:38:00.0	0	1	azz-20160831.xml	1	
0000009092-16-000025	9092	BADGER METER INC	3824	US	WI	MILWAUKEE	53223	4545 WEST BROWN DEER ROAD		4143715702	US	WI	MILWAUKEE	53223	4545 W BROWN DEER RD		US	WI	390143280	BADGER METER MANUFACTURING CO	19710729	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-26 18:28:00.0	0	1	bmi-20160930.xml	1	
0000009346-16-000074	9346	BALDWIN & LYONS INC	6331	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	3176369800	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	US	IN	350160330	BALDWIN H C AGENCY INC	19720309	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 15:57:00.0	0	1	bwinb-20160930.xml	1	
0000009984-16-000198	9984	BARNES GROUP INC	3490	US	CT	BRISTOL	06010	123 MAIN ST		8605837070	US	CT	BRISTOL	06010	123 MAIN ST		US	DE	060247840	ASSOCIATED SPRING CORP	19760518	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161028	2016-10-28 16:01:00.0	0	1	b-20160930.xml	1	
0000010048-16-000021	10048	BARNWELL INDUSTRIES INC	1311	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	808-531-8400	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	US	DE	720496921	BMA CORP/TN	19770324	5-SML	0	0930	10-K	20160930	2016	FY	20161220	2016-12-20 16:36:00.0	0	1	brn-20160930.xml	1	
0000011199-16-000065	11199	BEMIS CO INC	2670	US	WI	NEENAH	54957-0669	ONE NEENAH CENTER, 4TH FLOOR	P.O. BOX 669	(920) 727-41	US	WI	NEENAH	54957-0669	ONE NEENAH CENTER, 4TH FLOOR	P.O. BOX 669	US	MO	430178130			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161028	2016-10-28 10:36:00.0	0	1	bms-20160930.xml	1	
0000011544-16-000144	11544	BERKLEY W R CORP	6331	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	2036293000	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	US	DE	221867895			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161107	2016-11-07 16:31:00.0	0	1	wrb-20160930.xml	1	
0000012208-16-000090	12208	BIO RAD LABORATORIES INC	3826	US	CA	HERCULES	94547	1000 ALFRED NOBEL DR		5107247000	US	CA	HERCULES	94547	1000 ALFRED NOBEL DR		US	DE	941381833			1-LAF	1	1231	10-Q	20160930	2016	Q3	20161102	2016-11-02 17:25:00.0	0	1	a10q93016_htm.xml	1	
0000012400-16-000024	12400	BLACK HILLS POWER INC	4911	US	SD	RAPID CITY	57709	625 NINTH ST	PO BOX 1400	6053481700	US	SD	RAPID CITY	57709	P O BOX 1400		US	SD	460111677	BLACK HILLS CORP	19920703	4-NON	0	1231	10-Q	20160930	2016	Q3	20161107	2016-11-04 17:42:00.0	0	1	bkh-20160930.xml	1	
0000012927-16-000153	12927	BOEING CO	3721	US	WA	SEATTLE	98124	P O BOX 3707 MS 1F 31		312-544-2000	US	IL	CHICAGO	60606-1596	100 N RIVERSIDE PLZ		US	DE	910425694	BOEING AIRPLANE CO	19730725	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161026	2016-10-26 13:23:00.0	0	1	ba-20160930.xml	1	
0000013239-16-000116	13239	HEXION INC.	2821	US	OH	COLUMBUS	43215	180 EAST BROAD STREET	26TH FLOOR	6142254000	US	OH	COLUMBUS	43215	180 EAST BROAD STREET	26TH FLOOR	US	NJ	130511250	MOMENTIVE SPECIALTY CHEMICALS INC.	20101008	4-NON	0	1231	10-Q	20160930	2016	Q3	20161114	2016-11-14 17:36:00.0	0	1	msc-20160930.xml	1	
0000014195-16-000081	14195	BRIGGS & STRATTON CORP	3510	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		4142595333	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		US	WI	390182330			1-LAF	0	0630	10-Q	20160930	2017	Q1	20161101	2016-11-01 10:28:00.0	0	1	bgg-20161002.xml	1	
0000014272-16-000491	14272	BRISTOL MYERS SQUIBB CO	2834	US	NY	NEW YORK	10154	345 PARK AVE		2125464000	US	NY	NEW YORK	10154	345 PARK AVE		US	DE	220790350	BRISTOL MYERS CO	19891012	1-LAF	1	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 11:35:00.0	0	1	bmy-20160930.xml	1	
0000014693-16-000251	14693	BROWN FORMAN CORP	2080	US	KY	LOUISVILLE	40210	850 DIXIE HWY		5025851100	US	KY	LOUISVILLE	40201	P O BOX 1080		US	DE	610143150	BROWN FORMAN INC	19870816	1-LAF	0	0430	10-Q	20161031	2017	Q2	20161207	2016-12-07 16:47:00.0	0	1	bfb-20161031.xml	1	
0000014707-16-000117	14707	CALERES INC	3140	US	MO	ST LOUIS	63105	8300 MARYLAND AVE	P O BOX 29	3148544000	US	MO	ST LOUIS	63166	P O BOX 29		US	NY	430197190	BROWN SHOE CO INC	20030613	1-LAF	0	0131	10-Q	20161031	2016	Q3	20161207	2016-12-07 11:23:00.0	0	1	cal-20161029.xml	1	
0000014846-16-000062	14846	BRT REALTY TRUST	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100							US	MA	132755856	BERG ENTERPRISES REALTY GROUP	19750724	2-ACC	0	0930	10-K	20160930	2016	FY	20161213	2016-12-13 17:27:00.0	0	1	brt-20160930.xml	1	
0000014930-16-000279	14930	BRUNSWICK CORP	3510	US	IL	LAKE FOREST	60045-4811	ONE N FIELD CT		8477354700	US	IL	LAKE FOREST	60045-4811	ONE N FIELD CT		US	DE	360848180	BRUNSWICK BALKE COLLENDER CO	19660919	1-LAF	1	1231	10-Q	20160930	2016	Q3	20161102	2016-11-02 11:37:00.0	0	1	bc-20161001.xml	1	
0000015511-16-000040	15511	BNSF RAILWAY CO	4011	US	TX	FORT WORTH	76131-2830	2650 LOU MENK DR		8173523466	US	TX	FORT WORTH	76131-2830	2650 LOU MENK DR		US	DE	416034000	BURLINGTON NORTHERN & SANTA FE  RAILWAY CO	20031029	4-NON	0	1231	10-Q	20160930	2016	Q3	20161104	2016-11-04 16:34:00.0	0	1	bni-20160930.xml	1	
0000015615-16-000120	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 17:20:00.0	0	1	mtz-20160930.xml	1	
0000015847-16-000085	15847	BUTLER NATIONAL CORP	7990	US	KS	OLATHE	66062	19920 W 161ST ST		8167809595	US	KS	OLATHE	66062	19920 W 161ST ST		US	DE	410834293	NATIONAL CONNECTOR CORP	19701009	5-SML	0	0430	10-Q	20161031	2017	Q2	20161213	2016-12-13 15:56:00.0	0	1	buks-20161031.xml	1	
0000016099-16-000059	16099	LUBYS INC	5812	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	(713) 329 68	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	US	DE	741335253	LUBYS CAFETERIAS INC	19920703	2-ACC	0	0831	10-K	20160831	2016	FY	20161123	2016-11-23 12:26:00.0	0	1	lub-20160831.xml	1	
0000016160-16-000082	16160	CAL-MAINE FOODS INC	0200	US	MS	JACKSON	39209	3320 WOODROW WILSON DRIVE		6019486813	US	MS	JACKSON	39209	3320 WOODROW WILSON DR		US	DE	640500378	CAL MAINE FOODS INC	19961018	1-LAF	0	0531	10-Q	20161130	2017	Q2	20161222	2016-12-22 17:00:00.0	0	1	calm-20161126.xml	1	
0000016732-16-000173	16732	CAMPBELL SOUP CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870			1-LAF	1	0731	10-Q	20161031	2017	Q1	20161207	2016-12-07 08:11:00.0	0	1	cpb-20161030.xml	1	
0000016875-16-000039	16875	CANADIAN PACIFIC RAILWAY LTD/CN	4011	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		403-319-3591	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.				980355078	CANADIAN PACIFIC LTD	19930507	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161019	2016-10-19 14:10:00.0	0	1	cp-20160930.xml	1	
0000016918-16-000101	16918	CONSTELLATION BRANDS, INC.	2080	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	585-678-7100	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	US	DE	160716709	CONSTELLATION BRANDS INC	20000920	1-LAF	0	0229	10-Q	20160831	2016	Q2	20161005	2016-10-05 10:27:00.0	0	1	stz-20160831.xml	1	
0000017843-16-000109	17843	CARPENTER TECHNOLOGY CORP	3312	US	PA	WYOMISSING	19612	2 MERIDIAN BOULEVARD		6102082000	US	PA	READING	19612-4662	PO BOX 14662		US	DE	230458500			1-LAF	0	0630	10-Q	20160930	2017	Q1	20161027	2016-10-27 17:02:00.0	0	1	crs-20160930.xml	1	
0000018172-16-000102	18172	CASTLE A M & CO	5051	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	8474557111	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	US	MD	360879160			2-ACC	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 16:00:00.0	0	1	cas-20160930.xml	1	
0000018230-16-000715	18230	CATERPILLAR INC	3531	US	IL	PEORIA	61629	100 NE ADAMS ST		3096751000	US	IL	PEORIA	61629	100 NE ADAMS ST		US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161102	2016-11-02 11:51:00.0	0	1	cat-20160930.xml	1	
0000018255-16-000090	18255	CATO CORP	5621	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		7045517352	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		US	DE	560484485	CATO STORES INC	19701002	1-LAF	1	1031	10-Q	20161031	2016	Q3	20161122	2016-11-22 14:59:00.0	0	1	cato-20161029.xml	1	
0000018349-16-000005	18349	SYNOVUS FINANCIAL CORP	6021	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500 PO BOX 120	7066446362	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500 PO BOX 120	US	GA	581134883	CB&T BANCSHARES INC	19890912	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161104	2016-11-04 15:59:00.0	0	1	syn-20160930.xml	1	
0000018396-16-000217	18396	CDI CORP	7363	US	PA	PHILADELPHIA	19103-2768	1717 ARCH STREET	35TH FLOOR	2155692200	US	PA	PHILADELPHIA	19103-2768	1717 ARCH STREET	35TH FLOOR	US	PA	232394430	COMPREHEMSIVE DESINGNERS INC	19731120	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 15:44:00.0	0	1	cdi-20160930.xml	1	
0000018498-16-000095	18498	GENESCO INC	5661	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		6153677000	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		US	TN	620211340			1-LAF	0	0131	10-Q	20161031	2016	Q3	20161208	2016-12-08 16:07:00.0	0	1	gco-20161029.xml	1	
0000018926-16-000070	18926	CENTURYLINK, INC	4813	US	LA	MONROE	71203	P O BOX 4065	100 CENTURYLINK DR	3183889000	US	LA	MONROE	71203	100 CENTURYLINK DR	P O BOX 4065	US	LA	720651161	CENTURYTEL INC	19990602	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161104	2016-11-04 13:58:00.0	0	1	ctl-20160930.xml	1	
0000019612-16-000157	19612	CHEMICAL FINANCIAL CORP	6022	US	MI	MIDLAND	48640	235 E MAIN ST		989-839-5350	US	MI	MIDLAND	48640	235 E MAIN ST		US	MI	382022454			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 15:53:00.0	0	1	chfc-20160930.xml	1	
0000019617-16-001150	19617	JPMORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	270 PARK AVE	38TH FL	2122706000	US	NY	NEW YORK	10017	270 PARK AVENUE		US	DE	132624428	J P MORGAN CHASE & CO	20010102	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161101	2016-11-01 16:19:00.0	0	1	jpm-20160930.xml	1	
0000020212-16-000091	20212	CHURCHILL DOWNS INC	7948	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	5026364400	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	US	KY	610156015	CHURCHILL DOWNS INC	19920703	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 16:45:00.0	0	1	chdn-20160930.xml	1	
0000020286-16-000100	20286	CINCINNATI FINANCIAL CORP	6331	US	OH	FAIRFIELD	45014	6200 S GILMORE RD		5138702000	US	OH	CINCINNATI	45250	P.O. BOX 145496		US	OH	310746871			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161025	2016-10-25 16:11:00.0	0	1	cinf-20160930.xml	1	
0000020520-16-000115	20520	FRONTIER COMMUNICATIONS CORP	4813	US	CT	NORWALK	06851	401 MERRITT 7		2036145600	US	CT	NORWALK	06851	401 MERRITT 7		US	DE	060619596	CITIZENS COMMUNICATIONS CO	20000619	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 16:18:00.0	0	1	ftr-20160930.xml	1	
0000020629-16-000218	20629	CSS INDUSTRIES INC	2771	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	610-729-3959	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	US	DE	131920657	CITY STORES CO	19851212	2-ACC	0	0331	10-Q	20160930	2016	Q2	20161025	2016-10-25 16:33:00.0	0	1	css-20160930.xml	1	
0000020639-16-000070	20639	AMBASE CORP	6512	US	CT	GREENWICH	06830	100 PUTNAM GREEN		2035322000	US	CT	GREENWICH	06830	100 PUTNAM GREEN	3RD FLOOR	US	DE	952962743	HOME GROUP INC	19890608	5-SML	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 16:15:00.0	0	1	abcp-20160930.xml	1	
0000021175-16-000219	21175	CNA FINANCIAL CORP	6331	US	IL	CHICAGO	60604	CNA	333 S. WABASH	3128225000	US	IL	CHICAGO	60604	CNA	333 S. WABASH	US	DE	366169860			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161031	2016-10-31 11:22:00.0	0	1	cna-20160930.xml	1	
0000021344-16-000076	21344	COCA COLA CO	2080	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		404-676-2121	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		US	DE	580628465			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 13:20:00.0	0	1	ko-20160930.xml	1	
0000021344-16-000077	21344	COCA COLA CO	2080	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		404-676-2121	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		US	DE	580628465			1-LAF	1	1231	8-K	20151231	2015	FY	20161027	2016-10-27 13:24:00.0	0	1	ko-20161026.xml	1	
0000021510-16-000074	21510	COHERENT INC	3826	US	CA	SANTA CLARA	95054	5100 PATRICK HENRY DR		4087644000	US	CA	SANTA CLARA	95054	5100 PATRICK HENRY DRIVE	MAIL STOP P38	US	DE	941622541	COHERENT RADIATION	19770604	1-LAF	1	0930	10-K	20160930	2016	FY	20161129	2016-11-29 16:17:00.0	0	1	cohr-20161001.xml	1	
0000021665-16-000003	21665	COLGATE PALMOLIVE CO	2844	US	NY	NEW YORK	10022	300 PARK AVE		2123102000	US	NY	NEW YORK	10022	300 PARK AVE		US	DE	131815595			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 09:07:00.0	0	1	cl-20160930.xml	1	
0000022356-16-000083	22356	COMMERCE BANCSHARES INC /MO/	6022	US	MO	KANSAS CITY	64106	1000 WALNUT		8162342000	US	MO	KANSAS CITY	64141-6248	P O BOX 419248		US	MO	430889454			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161107	2016-11-07 12:18:00.0	0	1	cbsh-20160930.xml	1	
